2026-01-19T18:08:27-03:00 srv1 samba[880]: [2026/01/19 18:08:27.172392,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T06:11:07-03:00 srv1 samba[782]: [2026/01/25 06:11:07.700304,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T06:11:07-03:00 srv1 samba[782]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[_ldap._tcp.Default-First-Site-Name._sites] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T06:11:07-03:00 srv1 samba[782]: [2026/01/25 06:11:07.830181,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T06:11:07-03:00 srv1 samba[782]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[_msdcs.empresa.local] name[_ldap._tcp.Default-First-Site-Name._sites.dc] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T06:11:07-03:00 srv1 samba[782]: [2026/01/25 06:11:07.962820,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T06:11:07-03:00 srv1 samba[782]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[_kerberos._tcp.Default-First-Site-Name._sites] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T06:11:08-03:00 srv1 samba[782]: [2026/01/25 06:11:08.090227,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T06:11:08-03:00 srv1 samba[782]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[_msdcs.empresa.local] name[_kerberos._tcp.Default-First-Site-Name._sites.dc] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T06:11:08-03:00 srv1 samba[782]: [2026/01/25 06:11:08.221707,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T06:11:08-03:00 srv1 samba[782]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[_msdcs.empresa.local] name[_ldap._tcp.pdc] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T06:11:08-03:00 srv1 samba[782]: [2026/01/25 06:11:08.378692,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T06:11:08-03:00 srv1 samba[782]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[_msdcs.empresa.local] name[gc] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T06:11:08-03:00 srv1 samba[782]: [2026/01/25 06:11:08.503742,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T06:11:08-03:00 srv1 samba[782]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[_msdcs.empresa.local] name[gc] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T06:11:08-03:00 srv1 samba[782]: [2026/01/25 06:11:08.641039,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T06:11:08-03:00 srv1 samba[782]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[_gc._tcp] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T06:11:08-03:00 srv1 samba[782]: [2026/01/25 06:11:08.775925,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T06:11:08-03:00 srv1 samba[782]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[_msdcs.empresa.local] name[_ldap._tcp.gc] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T06:11:08-03:00 srv1 samba[782]: [2026/01/25 06:11:08.895612,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T06:11:08-03:00 srv1 samba[782]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[_gc._tcp.Default-First-Site-Name._sites] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T06:11:09-03:00 srv1 samba[782]: [2026/01/25 06:11:09.017837,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T06:11:09-03:00 srv1 samba[782]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[_msdcs.empresa.local] name[_ldap._tcp.Default-First-Site-Name._sites.gc] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T06:11:09-03:00 srv1 samba[782]: [2026/01/25 06:11:09.147418,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T06:11:09-03:00 srv1 samba[782]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[DomainDnsZones] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T06:11:09-03:00 srv1 samba[782]: [2026/01/25 06:11:09.278002,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T06:11:09-03:00 srv1 samba[782]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[DomainDnsZones] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T06:11:09-03:00 srv1 samba[782]: [2026/01/25 06:11:09.399990,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T06:11:09-03:00 srv1 samba[782]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[_ldap._tcp.DomainDnsZones] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T06:11:09-03:00 srv1 samba[782]: [2026/01/25 06:11:09.540355,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T06:11:09-03:00 srv1 samba[782]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[_ldap._tcp.Default-First-Site-Name._sites.DomainDnsZones] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T06:11:09-03:00 srv1 samba[782]: [2026/01/25 06:11:09.675099,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T06:11:09-03:00 srv1 samba[782]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[ForestDnsZones] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T06:11:09-03:00 srv1 samba[782]: [2026/01/25 06:11:09.784367,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T06:11:09-03:00 srv1 samba[782]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[ForestDnsZones] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T06:11:09-03:00 srv1 samba[782]: [2026/01/25 06:11:09.923943,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T06:11:09-03:00 srv1 samba[782]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[_ldap._tcp.ForestDnsZones] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T06:11:10-03:00 srv1 samba[782]: [2026/01/25 06:11:10.046179,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T06:11:10-03:00 srv1 samba[782]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[_ldap._tcp.Default-First-Site-Name._sites.ForestDnsZones] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T06:11:10-03:00 srv1 samba[782]: [2026/01/25 06:11:10.165221,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T06:11:10-03:00 srv1 samba[782]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[srv1] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T06:11:10-03:00 srv1 samba[782]: [2026/01/25 06:11:10.295536,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T06:11:10-03:00 srv1 samba[782]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[srv1] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T06:11:10-03:00 srv1 samba[782]: [2026/01/25 06:11:10.404992,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T06:11:10-03:00 srv1 samba[782]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[@] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T06:11:10-03:00 srv1 samba[782]: [2026/01/25 06:11:10.530002,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T06:11:10-03:00 srv1 samba[782]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[@] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T06:11:10-03:00 srv1 samba[782]: [2026/01/25 06:11:10.642605,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T06:11:10-03:00 srv1 samba[782]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[_msdcs.empresa.local] name[gc] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T06:11:10-03:00 srv1 samba[782]: [2026/01/25 06:11:10.775857,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T06:11:10-03:00 srv1 samba[782]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[_msdcs.empresa.local] name[gc] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T06:11:10-03:00 srv1 samba[782]: [2026/01/25 06:11:10.884346,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T06:11:10-03:00 srv1 samba[782]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[DomainDnsZones] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T06:11:11-03:00 srv1 samba[782]: [2026/01/25 06:11:11.012000,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T06:11:11-03:00 srv1 samba[782]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[DomainDnsZones] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T06:11:11-03:00 srv1 samba[782]: [2026/01/25 06:11:11.130481,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T06:11:11-03:00 srv1 samba[782]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[ForestDnsZones] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T06:11:11-03:00 srv1 samba[782]: [2026/01/25 06:11:11.255175,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T06:11:11-03:00 srv1 samba[782]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[ForestDnsZones] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T06:11:11-03:00 srv1 samba[782]: [2026/01/25 06:11:11.481740,  0] source4/dsdb/dns/dns_update.c:85(dnsupdate_nameupdate_done)
2026-01-25T06:11:11-03:00 srv1 samba[782]:   dnsupdate_nameupdate_done: Failed DNS update with exit code 44
2026-01-25T06:21:05-03:00 srv1 samba[782]: [2026/01/25 06:21:05.157552,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T06:21:05-03:00 srv1 samba[782]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[srv1] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T06:21:05-03:00 srv1 samba[782]: [2026/01/25 06:21:05.280473,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T06:21:05-03:00 srv1 samba[782]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[srv1] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T06:21:05-03:00 srv1 samba[782]: [2026/01/25 06:21:05.600738,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T06:21:05-03:00 srv1 samba[782]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[_msdcs.empresa.local] name[533cf283-fd83-429d-91f0-d87a18a19af8] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T06:21:05-03:00 srv1 samba[782]: [2026/01/25 06:21:05.751416,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T06:21:05-03:00 srv1 samba[782]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[@] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T06:21:05-03:00 srv1 samba[782]: [2026/01/25 06:21:05.903648,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T06:21:05-03:00 srv1 samba[782]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[_msdcs.empresa.local] name[@] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T06:21:06-03:00 srv1 samba[782]: [2026/01/25 06:21:06.068795,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T06:21:06-03:00 srv1 samba[782]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[@] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T06:21:06-03:00 srv1 samba[782]: [2026/01/25 06:21:06.229389,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T06:21:06-03:00 srv1 samba[782]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[@] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T06:21:06-03:00 srv1 samba[782]: [2026/01/25 06:21:06.441115,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T06:21:06-03:00 srv1 samba[782]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[_ldap._tcp] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T06:21:06-03:00 srv1 samba[782]: [2026/01/25 06:21:06.610303,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T06:21:06-03:00 srv1 samba[782]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[_msdcs.empresa.local] name[_ldap._tcp.dc] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T06:21:06-03:00 srv1 samba[782]: [2026/01/25 06:21:06.774879,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T06:21:06-03:00 srv1 samba[782]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[_msdcs.empresa.local] name[_ldap._tcp.0d491fd4-d42c-4d74-9d49-6745cf273338.domains] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T06:21:07-03:00 srv1 samba[782]: [2026/01/25 06:21:07.182436,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T06:21:07-03:00 srv1 samba[782]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[_kerberos._tcp] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T06:21:07-03:00 srv1 samba[782]: [2026/01/25 06:21:07.494968,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T06:21:07-03:00 srv1 samba[782]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[_kerberos._udp] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T06:21:07-03:00 srv1 samba[782]: [2026/01/25 06:21:07.708821,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T06:21:07-03:00 srv1 samba[782]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[_msdcs.empresa.local] name[_kerberos._tcp.dc] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T06:21:07-03:00 srv1 samba[782]: [2026/01/25 06:21:07.870235,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T06:21:07-03:00 srv1 samba[782]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[_kpasswd._tcp] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T06:21:08-03:00 srv1 samba[782]: [2026/01/25 06:21:08.060880,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T06:21:08-03:00 srv1 samba[782]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[_kpasswd._udp] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T06:21:08-03:00 srv1 samba[782]: [2026/01/25 06:21:08.252095,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T06:21:08-03:00 srv1 samba[782]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[_ldap._tcp.Default-First-Site-Name._sites] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T06:21:08-03:00 srv1 samba[782]: [2026/01/25 06:21:08.449222,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T06:21:08-03:00 srv1 samba[782]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[_msdcs.empresa.local] name[_ldap._tcp.Default-First-Site-Name._sites.dc] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T06:21:08-03:00 srv1 samba[782]: [2026/01/25 06:21:08.640629,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T06:21:08-03:00 srv1 samba[782]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[_kerberos._tcp.Default-First-Site-Name._sites] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T06:21:08-03:00 srv1 samba[782]: [2026/01/25 06:21:08.828096,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T06:21:08-03:00 srv1 samba[782]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[_msdcs.empresa.local] name[_kerberos._tcp.Default-First-Site-Name._sites.dc] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T06:21:09-03:00 srv1 samba[782]: [2026/01/25 06:21:09.082491,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T06:21:09-03:00 srv1 samba[782]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[_msdcs.empresa.local] name[_ldap._tcp.pdc] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T06:21:09-03:00 srv1 samba[782]: [2026/01/25 06:21:09.313799,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T06:21:09-03:00 srv1 samba[782]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[_msdcs.empresa.local] name[gc] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T06:21:09-03:00 srv1 samba[782]: [2026/01/25 06:21:09.800012,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T06:21:09-03:00 srv1 samba[782]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[_msdcs.empresa.local] name[gc] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T06:21:10-03:00 srv1 samba[782]: [2026/01/25 06:21:10.014492,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T06:21:10-03:00 srv1 samba[782]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[_gc._tcp] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T06:21:10-03:00 srv1 samba[782]: [2026/01/25 06:21:10.236310,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T06:21:10-03:00 srv1 samba[782]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[_msdcs.empresa.local] name[_ldap._tcp.gc] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T06:21:10-03:00 srv1 samba[782]: [2026/01/25 06:21:10.420460,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T06:21:10-03:00 srv1 samba[782]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[_gc._tcp.Default-First-Site-Name._sites] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T06:21:10-03:00 srv1 samba[782]: [2026/01/25 06:21:10.578450,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T06:21:10-03:00 srv1 samba[782]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[_msdcs.empresa.local] name[_ldap._tcp.Default-First-Site-Name._sites.gc] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T06:21:10-03:00 srv1 samba[782]: [2026/01/25 06:21:10.723001,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T06:21:10-03:00 srv1 samba[782]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[DomainDnsZones] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T06:21:10-03:00 srv1 samba[782]: [2026/01/25 06:21:10.934059,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T06:21:10-03:00 srv1 samba[782]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[DomainDnsZones] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T06:21:11-03:00 srv1 samba[782]: [2026/01/25 06:21:11.105462,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
